Station Name	QUEBEC/JEAN LESAGE INTL A
Province	QUEBEC
Latitude	46.8
Longitude	-71.38
Elevation	74.4
Climate Identifier	7016294

Created by	WHAT Beta 4.0.5
Created on	14/12/2014

*** FILL PROCEDURE INFO ***

MLR model	Least Absolute Deviations
Precip correction	Not Available
Wet days correction	Not Available
Max number of stations	1
Cutoff distance (km)	100
Cutoff altitude difference (m)	350
Date Start	1985/01/01
Date End	2005/12/31


*** SUMMARY TABLE ***

CLIMATE VARIABLE	TOTAL MISSING	TOTAL FILLED		AVG. NBR STA.	AVG. RMSE		QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Max Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.63		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Min Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.61		3646 (99.8 % of filled)	7 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Mean Temp (deg C)	3653 (47.6 % of total)	3653 (100.0 % of missing)		1.0	0.45		3645 (99.8 % of filled)	8 (0.2 % of filled)	0 (0.0 % of filled)	0 (0.0 % of filled)
Total Precip (mm)	1764 (23.0 % of total)	1764 (100.0 % of missing)		1.0	3.26		1739 (98.6 % of filled)	3 (0.2 % of filled)	11 (0.6 % of filled)	11 (0.6 % of filled)

TOTAL	12723 (41.5 % of total)	12723 (100.0 % of missing)		---	---		12676 (99.6 % of filled)	25 (0.2 % of filled)	11 (0.1 % of filled)	11 (0.1 % of filled)


*** DETAILED REPORT ***

VARIABLE	YEAR	MONTH	DAY	NBR STA.	RMSE	QUEBEC/JEAN LESAGE INTL A	QUEBEC/JEAN LESAGE INTL	LAUZON	CHATEAU RICHER	STE-FOY (U. LAVAL)
Mean Temp (deg C)	2002	1	29	1	0.45	-5.9	-5.9			
Mean Temp (deg C)	2002	1	30	1	0.45	-14.4	-14.4			
Mean Temp (deg C)	2002	1	31	1	0.45	-15.4	-15.4			
Mean Temp (deg C)	2002	2	1	1	0.45	-11.4	-11.4			
Mean Temp (deg C)	2002	2	2	1	0.45	-17.4	-17.4			
Mean Temp (deg C)	2002	2	3	1	0.45	-16.3	-16.3			
Mean Temp (deg C)	2002	2	4	1	0.45	-11.6	-11.6			
Mean Temp (deg C)	2002	2	5	1	0.45	-17.0	-17.0			
Mean Temp (deg C)	2002	2	6	1	0.45	-16.3	-16.3			
Mean Temp (deg C)	2002	2	7	1	0.45	-11.2	-11.2			
Mean Temp (deg C)	2002	2	8	1	0.45	-11.8	-11.8			
Mean Temp (deg C)	2002	2	9	1	0.45	-14.4	-14.4			
Mean Temp (deg C)	2002	2	10	1	0.45	-9.6	-9.6			
Mean Temp (deg C)	2002	2	11	1	0.45	-14.0	-14.0			
Mean Temp (deg C)	2002	2	12	1	0.45	-13.4	-13.4			
Mean Temp (deg C)	2002	2	13	1	0.45	-11.9	-11.9			
Mean Temp (deg C)	2002	2	14	1	0.45	-13.2	-13.2			
Mean Temp (deg C)	2002	2	15	1	0.45	0.5	0.5			
Mean Temp (deg C)	2002	2	16	1	0.45	-1.0	-1.0			
Mean Temp (deg C)	2002	2	17	1	0.45	-5.2	-5.2			
Mean Temp (deg C)	2002	2	18	1	0.45	-9.6	-9.6			
Mean Temp (deg C)	2002	2	19	1	0.45	-9.5	-9.5			
Mean Temp (deg C)	2002	2	20	1	0.45	-3.5	-3.5			
Mean Temp (deg C)	2002	2	21	1	0.45	0.2	0.2			
Mean Temp (deg C)	2002	2	22	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	2002	2	23	1	0.45	-8.4	-8.4			
Mean Temp (deg C)	2002	2	24	1	0.45	-7.4	-7.4			
Mean Temp (deg C)	2002	2	25	1	0.45	-2.7	-2.7			
Mean Temp (deg C)	2002	2	26	1	0.45	-0.2	-0.2			
Mean Temp (deg C)	2002	2	27	1	0.45	-0.0	0.0			
Mean Temp (deg C)	2002	2	28	1	0.45	-6.5	-6.5			
Mean Temp (deg C)	2002	3	1	1	0.45	-5.3	-5.3			
Mean Temp (deg C)	2002	3	2	1	0.45	-10.6	-10.6			
Mean Temp (deg C)	2002	3	3	1	0.45	-0.2	-0.2			
Mean Temp (deg C)	2002	3	4	1	0.45	-8.8	-8.8			
Mean Temp (deg C)	2002	3	5	1	0.45	-12.3	-12.3			
Mean Temp (deg C)	2002	3	6	1	0.45	-5.8	-5.8			
Mean Temp (deg C)	2002	3	7	1	0.45	-8.1	-8.1			
Mean Temp (deg C)	2002	3	8	1	0.45	-8.0	-8.0			
Mean Temp (deg C)	2002	3	9	1	0.45	-2.3	-2.3			
Mean Temp (deg C)	2002	3	10	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	2002	3	11	1	0.45	-7.3	-7.3			
Mean Temp (deg C)	2002	3	12	1	0.45	-4.1	-4.1			
Mean Temp (deg C)	2002	3	13	1	0.45	-0.9	-0.9			
Mean Temp (deg C)	2002	3	14	1	0.45	-2.5	-2.5			
Mean Temp (deg C)	2002	3	15	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	2002	3	16	1	0.45	-6.2	-6.2			
Mean Temp (deg C)	2002	3	17	1	0.45	-5.6	-5.6			
Mean Temp (deg C)	2002	3	18	1	0.45	-5.5	-5.5			
Mean Temp (deg C)	2002	3	19	1	0.45	-1.4	-1.4			
Mean Temp (deg C)	2002	3	20	1	0.45	-0.3	-0.3			
Mean Temp (deg C)	2002	3	21	1	0.45	-5.8	-5.8			
Mean Temp (deg C)	2002	3	22	1	0.45	-13.1	-13.1			
Mean Temp (deg C)	2002	3	23	1	0.45	-8.1	-8.1			
Mean Temp (deg C)	2002	3	24	1	0.45	-10.3	-10.3			
Mean Temp (deg C)	2002	3	25	1	0.45	-10.7	-10.7			
Mean Temp (deg C)	2002	3	26	1	0.45	-7.6	-7.6			
Mean Temp (deg C)	2002	3	27	1	0.45	-0.3	-0.3			
Mean Temp (deg C)	2002	3	28	1	0.45	0.6	0.6			
Mean Temp (deg C)	2002	3	29	1	0.45	1.1	1.1			
Mean Temp (deg C)	2002	3	30	1	0.45	4.0	4.0			
Mean Temp (deg C)	2002	3	31	1	0.45	3.5	3.5			
Mean Temp (deg C)	2002	4	1	1	0.45	1.7	1.7			
Mean Temp (deg C)	2002	4	2	1	0.45	2.0	2.0			
Mean Temp (deg C)	2002	4	3	1	0.45	0.9	0.9			
Mean Temp (deg C)	2002	4	4	1	0.45	-0.6	-0.6			
Mean Temp (deg C)	2002	4	5	1	0.45	-2.8	-2.8			
Mean Temp (deg C)	2002	4	6	1	0.45	-3.6	-3.6			
Mean Temp (deg C)	2002	4	7	1	0.45	-4.9	-4.9			
Mean Temp (deg C)	2002	4	8	1	0.45	0.1	0.1			
Mean Temp (deg C)	2002	4	9	1	0.45	5.1	5.1			
Mean Temp (deg C)	2002	4	10	1	0.45	2.5	2.5			
Mean Temp (deg C)	2002	4	11	1	0.45	2.9	2.9			
Mean Temp (deg C)	2002	4	12	1	0.45	10.8	10.8			
Mean Temp (deg C)	2002	4	13	1	0.45	10.3	10.3			
Mean Temp (deg C)	2002	4	14	1	0.45	7.8	7.8			
Mean Temp (deg C)	2002	4	15	1	0.45	6.6	6.6			
Mean Temp (deg C)	2002	4	16	1	0.45	10.9	10.9			
Mean Temp (deg C)	2002	4	17	1	0.45	7.0	7.0			
Mean Temp (deg C)	2002	4	18	1	0.45	7.0	7.0			
Mean Temp (deg C)	2002	4	19	1	0.45	12.5	12.5			
Mean Temp (deg C)	2002	4	20	1	0.45	2.9	2.9			
Mean Temp (deg C)	2002	4	21	1	0.45	-0.6	-0.6			
Mean Temp (deg C)	2002	4	22	1	0.45	0.5	0.5			
Mean Temp (deg C)	2002	4	23	1	0.45	3.7	3.7			
Mean Temp (deg C)	2002	4	24	1	0.45	5.6	5.6			
Mean Temp (deg C)	2002	4	25	1	0.45	9.5	9.5			
Mean Temp (deg C)	2002	4	26	1	0.45	3.8	3.8			
Mean Temp (deg C)	2002	4	27	1	0.45	2.6	2.6			
Mean Temp (deg C)	2002	4	28	1	0.45	1.7	1.7			
Mean Temp (deg C)	2002	4	29	1	0.45	2.7	2.7			
Mean Temp (deg C)	2002	4	30	1	0.45	4.2	4.2			
Mean Temp (deg C)	2002	5	1	1	0.45	5.6	5.6			
Mean Temp (deg C)	2002	5	2	1	0.45	4.0	4.0			
Mean Temp (deg C)	2002	5	3	1	0.45	7.4	7.4			
Mean Temp (deg C)	2002	5	4	1	0.45	7.3	7.3			
Mean Temp (deg C)	2002	5	5	1	0.45	10.8	10.8			
Mean Temp (deg C)	2002	5	6	1	0.45	12.5	12.5			
Mean Temp (deg C)	2002	5	7	1	0.45	9.2	9.2			
Mean Temp (deg C)	2002	5	8	1	0.45	8.1	8.1			
Mean Temp (deg C)	2002	5	9	1	0.45	7.2	7.2			
Mean Temp (deg C)	2002	5	10	1	0.45	9.2	9.2			
Mean Temp (deg C)	2002	5	11	1	0.45	6.1	6.1			
Mean Temp (deg C)	2002	5	12	1	0.45	6.2	6.2			
Mean Temp (deg C)	2002	5	13	1	0.45	7.7	7.7			
Mean Temp (deg C)	2002	5	14	1	0.45	3.4	3.4			
Mean Temp (deg C)	2002	5	15	1	0.45	5.9	5.9			
Mean Temp (deg C)	2002	5	16	1	0.45	9.4	9.4			
Mean Temp (deg C)	2002	5	17	1	0.45	6.9	6.9			
Mean Temp (deg C)	2002	5	18	1	0.45	5.3	5.3			
Mean Temp (deg C)	2002	5	19	1	0.45	6.8	6.8			
Mean Temp (deg C)	2002	5	20	1	0.45	6.1	6.1			
Mean Temp (deg C)	2002	5	21	1	0.45	7.9	7.9			
Mean Temp (deg C)	2002	5	22	1	0.45	10.6	10.6			
Mean Temp (deg C)	2002	5	23	1	0.45	15.3	15.3			
Mean Temp (deg C)	2002	5	24	1	0.45	9.4	9.4			
Mean Temp (deg C)	2002	5	25	1	0.45	7.2	7.2			
Mean Temp (deg C)	2002	5	26	1	0.45	10.8	10.8			
Mean Temp (deg C)	2002	5	27	1	0.45	8.5	8.5			
Mean Temp (deg C)	2002	5	28	1	0.45	16.0	16.0			
Mean Temp (deg C)	2002	5	29	1	0.45	18.2	18.2			
Mean Temp (deg C)	2002	5	30	1	0.45	19.2	19.2			
Mean Temp (deg C)	2002	5	31	1	0.45	17.6	17.6			
Mean Temp (deg C)	2002	6	1	1	0.45	13.0	13.0			
Mean Temp (deg C)	2002	6	2	1	0.45	8.0	8.0			
Mean Temp (deg C)	2002	6	3	1	0.45	8.1	8.1			
Mean Temp (deg C)	2002	6	4	1	0.45	10.3	10.3			
Mean Temp (deg C)	2002	6	5	1	0.45	11.4	11.4			
Mean Temp (deg C)	2002	6	6	1	0.45	12.1	12.1			
Mean Temp (deg C)	2002	6	7	1	0.45	13.5	13.5			
Mean Temp (deg C)	2002	6	8	1	0.45	13.1	13.1			
Mean Temp (deg C)	2002	6	9	1	0.45	14.8	14.8			
Mean Temp (deg C)	2002	6	10	1	0.45	15.5	15.5			
Mean Temp (deg C)	2002	6	11	1	0.45	13.6	13.6			
Mean Temp (deg C)	2002	6	12	1	0.45	13.7	13.7			
Mean Temp (deg C)	2002	6	13	1	0.45	15.9	15.9			
Mean Temp (deg C)	2002	6	14	1	0.45	13.4	13.4			
Mean Temp (deg C)	2002	6	15	1	0.45	13.7	13.7			
Mean Temp (deg C)	2002	6	16	1	0.45	10.4	10.4			
Mean Temp (deg C)	2002	6	17	1	0.45	11.0	11.0			
Mean Temp (deg C)	2002	6	18	1	0.45	12.1	12.1			
Mean Temp (deg C)	2002	6	19	1	0.45	15.0	15.0			
Mean Temp (deg C)	2002	6	20	1	0.45	17.1	17.1			
Mean Temp (deg C)	2002	6	21	1	0.45	20.1	20.1			
Mean Temp (deg C)	2002	6	22	1	0.45	18.2	18.2			
Mean Temp (deg C)	2002	6	23	1	0.45	16.7	16.7			
Mean Temp (deg C)	2002	6	24	1	0.45	18.3	18.3			
Mean Temp (deg C)	2002	6	25	1	0.45	16.5	16.5			
Mean Temp (deg C)	2002	6	26	1	0.45	19.3	19.3			
Mean Temp (deg C)	2002	6	27	1	0.45	21.1	21.1			
Mean Temp (deg C)	2002	6	28	1	0.45	20.8	20.8			
Mean Temp (deg C)	2002	6	29	1	0.45	19.7	19.7			
Mean Temp (deg C)	2002	6	30	1	0.45	20.3	20.3			
Mean Temp (deg C)	2002	7	1	1	0.45	24.5	24.5			
Mean Temp (deg C)	2002	7	2	1	0.45	28.0	28.0			
Mean Temp (deg C)	2002	7	3	1	0.45	27.5	27.5			
Mean Temp (deg C)	2002	7	4	1	0.45	23.5	23.5			
Mean Temp (deg C)	2002	7	5	1	0.45	20.3	20.3			
Mean Temp (deg C)	2002	7	6	1	0.45	17.2	17.2			
Mean Temp (deg C)	2002	7	7	1	0.45	19.8	19.8			
Mean Temp (deg C)	2002	7	8	1	0.45	20.1	20.1			
Mean Temp (deg C)	2002	7	9	1	0.45	20.6	20.6			
Mean Temp (deg C)	2002	7	10	1	0.45	12.8	12.8			
Mean Temp (deg C)	2002	7	11	1	0.45	15.8	15.8			
Mean Temp (deg C)	2002	7	12	1	0.45	18.6	18.6			
Mean Temp (deg C)	2002	7	13	1	0.45	19.6	19.6			
Mean Temp (deg C)	2002	7	14	1	0.45	18.8	18.8			
Mean Temp (deg C)	2002	7	15	1	0.45	18.2	18.2			
Mean Temp (deg C)	2002	7	16	1	0.45	16.7	16.7			
Mean Temp (deg C)	2002	7	17	1	0.45	16.1	16.1			
Mean Temp (deg C)	2002	7	18	1	0.45	18.3	18.3			
Mean Temp (deg C)	2002	7	19	1	0.45	17.9	17.9			
Mean Temp (deg C)	2002	7	20	1	0.45	18.7	18.7			
Mean Temp (deg C)	2002	7	21	1	0.45	19.1	19.1			
Mean Temp (deg C)	2002	7	22	1	0.45	25.1	25.1			
Mean Temp (deg C)	2002	7	23	1	0.45	17.2	17.2			
Mean Temp (deg C)	2002	7	24	1	0.45	15.5	15.5			
Mean Temp (deg C)	2002	7	25	1	0.45	17.0	17.0			
Mean Temp (deg C)	2002	7	26	1	0.45	19.0	19.0			
Mean Temp (deg C)	2002	7	27	1	0.45	15.0	15.0			
Mean Temp (deg C)	2002	7	28	1	0.45	21.5	21.5			
Mean Temp (deg C)	2002	7	29	1	0.45	24.5	24.5			
Mean Temp (deg C)	2002	7	30	1	0.45	23.6	23.6			
Mean Temp (deg C)	2002	7	31	1	0.45	23.6	23.6			
Mean Temp (deg C)	2002	8	1	1	0.45	20.7	20.7			
Mean Temp (deg C)	2002	8	2	1	0.45	20.9	20.9			
Mean Temp (deg C)	2002	8	3	1	0.45	21.5	21.5			
Mean Temp (deg C)	2002	8	4	1	0.45	20.1	20.1			
Mean Temp (deg C)	2002	8	5	1	0.45	18.5	18.5			
Mean Temp (deg C)	2002	8	6	1	0.45	16.4	16.4			
Mean Temp (deg C)	2002	8	7	1	0.45	18.5	18.5			
Mean Temp (deg C)	2002	8	8	1	0.45	17.7	17.7			
Mean Temp (deg C)	2002	8	9	1	0.45	18.5	18.5			
Mean Temp (deg C)	2002	8	10	1	0.45	22.0	22.0			
Mean Temp (deg C)	2002	8	11	1	0.45	22.6	22.6			
Mean Temp (deg C)	2002	8	12	1	0.45	23.8	23.8			
Mean Temp (deg C)	2002	8	13	1	0.45	24.7	24.7			
Mean Temp (deg C)	2002	8	14	1	0.45	26.2	26.2			
Mean Temp (deg C)	2002	8	15	1	0.45	24.8	24.8			
Mean Temp (deg C)	2002	8	16	1	0.45	25.6	25.6			
Mean Temp (deg C)	2002	8	17	1	0.45	22.6	22.6			
Mean Temp (deg C)	2002	8	18	1	0.45	22.3	22.3			
Mean Temp (deg C)	2002	8	19	1	0.45	18.8	18.8			
Mean Temp (deg C)	2002	8	20	1	0.45	18.0	18.0			
Mean Temp (deg C)	2002	8	21	1	0.45	18.5	18.5			
Mean Temp (deg C)	2002	8	22	1	0.45	13.6	13.6			
Mean Temp (deg C)	2002	8	23	1	0.45	14.8	14.8			
Mean Temp (deg C)	2002	8	24	1	0.45	17.7	17.7			
Mean Temp (deg C)	2002	8	25	1	0.45	16.8	16.8			
Mean Temp (deg C)	2002	8	26	1	0.45	17.3	17.3			
Mean Temp (deg C)	2002	8	27	1	0.45	14.1	14.1			
Mean Temp (deg C)	2002	8	28	1	0.45	15.7	15.7			
Mean Temp (deg C)	2002	8	29	1	0.45	17.2	17.2			
Mean Temp (deg C)	2002	8	30	1	0.45	17.2	17.2			
Mean Temp (deg C)	2002	8	31	1	0.45	14.1	14.1			
Mean Temp (deg C)	2002	9	1	1	0.45	17.3	17.3			
Mean Temp (deg C)	2002	9	2	1	0.45	18.3	18.3			
Mean Temp (deg C)	2002	9	3	1	0.45	20.8	20.8			
Mean Temp (deg C)	2002	9	4	1	0.45	20.3	20.3			
Mean Temp (deg C)	2002	9	5	1	0.45	14.8	14.8			
Mean Temp (deg C)	2002	9	6	1	0.45	15.0	15.0			
Mean Temp (deg C)	2002	9	7	1	0.45	20.6	20.6			
Mean Temp (deg C)	2002	9	8	1	0.45	21.4	21.4			
Mean Temp (deg C)	2002	9	9	1	0.45	24.0	24.0			
Mean Temp (deg C)	2002	9	10	1	0.45	23.2	23.2			
Mean Temp (deg C)	2002	9	11	1	0.45	12.7	12.7			
Mean Temp (deg C)	2002	9	12	1	0.45	11.3	11.3			
Mean Temp (deg C)	2002	9	13	1	0.45	15.0	15.0			
Mean Temp (deg C)	2002	9	14	1	0.45	12.1	12.1			
Mean Temp (deg C)	2002	9	15	1	0.45	14.8	14.8			
Mean Temp (deg C)	2002	9	16	1	0.45	13.0	13.0			
Mean Temp (deg C)	2002	9	17	1	0.45	14.0	14.0			
Mean Temp (deg C)	2002	9	18	1	0.45	12.3	12.3			
Mean Temp (deg C)	2002	9	19	1	0.45	16.0	16.0			
Mean Temp (deg C)	2002	9	20	1	0.45	19.4	19.4			
Mean Temp (deg C)	2002	9	21	1	0.45	21.4	21.4			
Mean Temp (deg C)	2002	9	22	1	0.45	18.4	18.4			
Mean Temp (deg C)	2002	9	23	1	0.45	13.4	13.4			
Mean Temp (deg C)	2002	9	24	1	0.45	12.8	12.8			
Mean Temp (deg C)	2002	9	25	1	0.45	13.6	13.6			
Mean Temp (deg C)	2002	9	26	1	0.45	14.0	14.0			
Mean Temp (deg C)	2002	9	27	1	0.45	13.1	13.1			
Mean Temp (deg C)	2002	9	28	1	0.45	8.9	8.9			
Mean Temp (deg C)	2002	9	29	1	0.45	6.7	6.7			
Mean Temp (deg C)	2002	9	30	1	0.45	10.0	10.0			
Mean Temp (deg C)	2002	10	1	1	0.45	18.5	18.5			
Mean Temp (deg C)	2002	10	2	1	0.45	16.9	16.9			
Mean Temp (deg C)	2002	10	3	1	0.45	7.9	7.9			
Mean Temp (deg C)	2002	10	4	1	0.45	7.4	7.4			
Mean Temp (deg C)	2002	10	5	1	0.45	11.9	11.9			
Mean Temp (deg C)	2002	10	6	1	0.45	6.4	6.4			
Mean Temp (deg C)	2002	10	7	1	0.45	10.0	10.0			
Mean Temp (deg C)	2002	10	8	1	0.45	4.8	4.8			
Mean Temp (deg C)	2002	10	9	1	0.45	3.6	3.6			
Mean Temp (deg C)	2002	10	10	1	0.45	6.3	6.3			
Mean Temp (deg C)	2002	10	11	1	0.45	8.5	8.5			
Mean Temp (deg C)	2002	10	12	1	0.45	10.7	10.7			
Mean Temp (deg C)	2002	10	13	1	0.45	10.2	10.2			
Mean Temp (deg C)	2002	10	14	1	0.45	1.9	1.9			
Mean Temp (deg C)	2002	10	15	1	0.45	2.1	2.1			
Mean Temp (deg C)	2002	10	16	1	0.45	4.9	4.9			
Mean Temp (deg C)	2002	10	17	1	0.45	4.8	4.8			
Mean Temp (deg C)	2002	10	18	1	0.45	3.9	3.9			
Mean Temp (deg C)	2002	10	19	1	0.45	1.2	1.2			
Mean Temp (deg C)	2002	10	20	1	0.45	0.8	0.8			
Mean Temp (deg C)	2002	10	21	1	0.45	0.3	0.3			
Mean Temp (deg C)	2002	10	22	1	0.45	-0.6	-0.6			
Mean Temp (deg C)	2002	10	23	1	0.45	1.4	1.4			
Mean Temp (deg C)	2002	10	24	1	0.45	2.6	2.6			
Mean Temp (deg C)	2002	10	25	1	0.45	2.3	2.3			
Mean Temp (deg C)	2002	10	26	1	0.45	2.0	2.0			
Mean Temp (deg C)	2002	10	27	1	0.45	2.1	2.1			
Mean Temp (deg C)	2002	10	28	1	0.45	0.4	0.4			
Mean Temp (deg C)	2002	10	29	1	0.45	-1.7	-1.7			
Mean Temp (deg C)	2002	10	30	1	0.45	-1.4	-1.4			
Mean Temp (deg C)	2002	10	31	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2002	11	1	1	0.45	-3.7	-3.7			
Mean Temp (deg C)	2002	11	2	1	0.45	-6.2	-6.2			
Mean Temp (deg C)	2002	11	3	1	0.45	-6.0	-6.0			
Mean Temp (deg C)	2002	11	4	1	0.45	-4.8	-4.8			
Mean Temp (deg C)	2002	11	5	1	0.45	-1.7	-1.7			
Mean Temp (deg C)	2002	11	6	1	0.45	-0.2	-0.2			
Mean Temp (deg C)	2002	11	7	1	0.45	-7.7	-7.7			
Mean Temp (deg C)	2002	11	8	1	0.45	-5.0	-5.0			
Mean Temp (deg C)	2002	11	9	1	0.45	1.7	1.7			
Mean Temp (deg C)	2002	11	10	1	0.45	2.6	2.6			
Mean Temp (deg C)	2002	11	11	1	0.45	7.9	7.9			
Mean Temp (deg C)	2002	11	12	1	0.45	1.7	1.7			
Mean Temp (deg C)	2002	11	13	1	0.45	1.5	1.5			
Mean Temp (deg C)	2002	11	14	1	0.45	0.2	0.2			
Mean Temp (deg C)	2002	11	15	1	0.45	-2.1	-2.1			
Mean Temp (deg C)	2002	11	16	1	0.45	-5.5	-5.5			
Mean Temp (deg C)	2002	11	17	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2002	11	18	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2002	11	19	1	0.45	-4.7	-4.7			
Mean Temp (deg C)	2002	11	20	1	0.45	0.2	0.2			
Mean Temp (deg C)	2002	11	21	1	0.45	2.0	2.0			
Mean Temp (deg C)	2002	11	22	1	0.45	2.5	2.5			
Mean Temp (deg C)	2002	11	23	1	0.45	0.4	0.4			
Mean Temp (deg C)	2002	11	24	1	0.45	-1.2	-1.2			
Mean Temp (deg C)	2002	11	25	1	0.45	-3.6	-3.6			
Mean Temp (deg C)	2002	11	26	1	0.45	-4.2	-4.2			
Mean Temp (deg C)	2002	11	27	1	0.45	-7.0	-7.0			
Mean Temp (deg C)	2002	11	28	1	0.45	-10.5	-10.5			
Mean Temp (deg C)	2002	11	29	1	0.45	-9.5	-9.5			
Mean Temp (deg C)	2002	11	30	1	0.45	-2.6	-2.6			
Mean Temp (deg C)	2002	12	1	1	0.45	-6.9	-6.9			
Mean Temp (deg C)	2002	12	2	1	0.45	-14.2	-14.2			
Mean Temp (deg C)	2002	12	3	1	0.45	-14.3	-14.3			
Mean Temp (deg C)	2002	12	4	1	0.45	-15.9	-15.9			
Mean Temp (deg C)	2002	12	5	1	0.45	-12.7	-12.7			
Mean Temp (deg C)	2002	12	6	1	0.45	-7.0	-7.0			
Mean Temp (deg C)	2002	12	7	1	0.45	-3.4	-3.4			
Mean Temp (deg C)	2002	12	8	1	0.45	-11.7	-11.7			
Mean Temp (deg C)	2002	12	9	1	0.45	-16.6	-16.6			
Mean Temp (deg C)	2002	12	10	1	0.45	-5.2	-5.2			
Mean Temp (deg C)	2002	12	11	1	0.45	-3.8	-3.8			
Mean Temp (deg C)	2002	12	12	1	0.45	-5.5	-5.5			
Mean Temp (deg C)	2002	12	13	1	0.45	-2.8	-2.8			
Mean Temp (deg C)	2002	12	14	1	0.45	0.3	0.3			
Mean Temp (deg C)	2002	12	15	1	0.45	-0.8	-0.8			
Mean Temp (deg C)	2002	12	16	1	0.45	-6.9	-6.9			
Mean Temp (deg C)	2002	12	17	1	0.45	-12.8	-12.8			
Mean Temp (deg C)	2002	12	18	1	0.45	-14.4	-14.4			
Mean Temp (deg C)	2002	12	19	1	0.45	-10.2	-10.2			
Mean Temp (deg C)	2002	12	20	1	0.45	-0.5	-0.5			
Mean Temp (deg C)	2002	12	21	1	0.45	-0.2	-0.2			
Mean Temp (deg C)	2002	12	22	1	0.45	-0.7	-0.7			
Mean Temp (deg C)	2002	12	23	1	0.45	-2.9	-2.9			
Mean Temp (deg C)	2002	12	24	1	0.45	-8.5	-8.5			
Mean Temp (deg C)	2002	12	25	1	0.45	-9.3	-9.3			
Mean Temp (deg C)	2002	12	26	1	0.45	-7.6	-7.6			
Mean Temp (deg C)	2002	12	27	1	0.45	-10.5	-10.5			
Mean Temp (deg C)	2002	12	28	1	0.45	-5.6	-5.6			
Mean Temp (deg C)	2002	12	29	1	0.45	-8.9	-8.9			
Mean Temp (deg C)	2002	12	30	1	0.45	-12.8	-12.8			
Mean Temp (deg C)	2002	12	31	1	0.45	-6.7	-6.7			
Mean Temp (deg C)	2003	1	1	1	0.45	-5.9	-5.9			
Mean Temp (deg C)	2003	1	2	1	0.45	-10.7	-10.7			
Mean Temp (deg C)	2003	1	3	1	0.45	-8.2	-8.2			
Mean Temp (deg C)	2003	1	4	1	0.45	-5.6	-5.6			
Mean Temp (deg C)	2003	1	5	1	0.45	-7.5	-7.5			
Mean Temp (deg C)	2003	1	6	1	0.45	-4.9	-4.9			
Mean Temp (deg C)	2003	1	7	1	0.45	-9.4	-9.4			
Mean Temp (deg C)	2003	1	8	1	0.45	-11.3	-11.3			
Mean Temp (deg C)	2003	1	9	1	0.45	-16.5	-16.5			
Mean Temp (deg C)	2003	1	10	1	0.45	-16.4	-16.4			
Mean Temp (deg C)	2003	1	11	1	0.45	-18.9	-18.9			
Mean Temp (deg C)	2003	1	12	1	0.45	-12.4	-12.4			
Mean Temp (deg C)	2003	1	13	1	0.45	-11.7	-11.7			
Mean Temp (deg C)	2003	1	14	1	0.45	-17.4	-17.4			
Mean Temp (deg C)	2003	1	15	1	0.45	-20.6	-20.6			
Mean Temp (deg C)	2003	1	16	1	0.45	-20.0	-20.0			
Mean Temp (deg C)	2003	1	17	1	0.45	-19.6	-19.6			
Mean Temp (deg C)	2003	1	18	1	0.45	-21.6	-21.6			
Mean Temp (deg C)	2003	1	19	1	0.45	-15.7	-15.7			
Mean Temp (deg C)	2003	1	20	1	0.45	-12.1	-12.1			
Mean Temp (deg C)	2003	1	21	1	0.45	-19.9	-19.9			
Mean Temp (deg C)	2003	1	22	1	0.45	-21.8	-21.8			
Mean Temp (deg C)	2003	1	23	1	0.45	-17.5	-17.5			
Mean Temp (deg C)	2003	1	24	1	0.45	-17.6	-17.6			
Mean Temp (deg C)	2003	1	25	1	0.45	-16.9	-16.9			
Mean Temp (deg C)	2003	1	26	1	0.45	-9.4	-9.4			
Mean Temp (deg C)	2003	1	27	1	0.45	-19.3	-19.3			
Mean Temp (deg C)	2003	1	28	1	0.45	-23.2	-23.2			
Mean Temp (deg C)	2003	1	29	1	0.45	-13.9	-13.9			
Mean Temp (deg C)	2003	1	30	1	0.45	-15.4	-15.4			
Mean Temp (deg C)	2003	1	31	1	0.45	-13.3	-13.3			
Mean Temp (deg C)	2003	2	1	1	0.45	-4.1	-4.1			
Mean Temp (deg C)	2003	2	2	1	0.45	-0.9	-0.9			
Mean Temp (deg C)	2003	2	3	1	0.45	-4.1	-4.1			
Mean Temp (deg C)	2003	2	4	1	0.45	-6.1	-6.1			
Mean Temp (deg C)	2003	2	5	1	0.45	-11.6	-11.6			
Mean Temp (deg C)	2003	2	6	1	0.45	-16.1	-16.1			
